layer,seed,id,length_bucket,distractor_level,seq_len,max_token_prob,second_max_token_prob,num_tokens_above_threshold,diagnostic_threshold
12,0,test_2048_0_000004,2048,0,2022,1.0,0.9999850988388062,3,0.9
12,0,test_2048_0_000005,2048,0,2059,1.0,1.0,7,0.9
12,0,test_2048_0_000006,2048,0,2038,1.0,1.0,6,0.9
12,0,test_2048_0_000007,2048,0,2027,1.0,1.0,7,0.9
12,0,test_2048_1_000012,2048,1,2030,0.9999885559082031,0.9998756647109985,6,0.9
12,0,test_2048_1_000013,2048,1,2030,1.0,1.0,8,0.9
12,0,test_2048_1_000014,2048,1,2044,1.0,1.0,20,0.9
12,0,test_2048_1_000015,2048,1,2008,1.0,1.0,12,0.9
12,0,test_2048_4_000020,2048,4,2013,1.0,1.0,11,0.9
12,0,test_2048_4_000021,2048,4,2029,1.0,1.0,26,0.9
12,0,test_2048_4_000022,2048,4,2054,1.0,1.0,36,0.9
12,0,test_2048_4_000023,2048,4,2052,1.0,1.0,32,0.9
12,0,test_2048_8_000028,2048,8,2042,1.0,1.0,22,0.9
12,0,test_2048_8_000029,2048,8,2039,1.0,1.0,30,0.9
12,0,test_2048_8_000030,2048,8,2019,1.0,1.0,21,0.9
12,0,test_2048_8_000031,2048,8,2023,1.0,1.0,40,0.9
12,0,test_8192_0_000036,8192,0,8035,1.0,1.0,7,0.9
12,0,test_8192_0_000037,8192,0,8052,0.9969192743301392,0.9967515468597412,4,0.9
12,0,test_8192_0_000038,8192,0,8066,1.0,0.9999992847442627,3,0.9
12,0,test_8192_0_000039,8192,0,8057,0.9990649819374084,0.9926730990409851,4,0.9
12,0,test_8192_1_000044,8192,1,8064,1.0,1.0,7,0.9
12,0,test_8192_1_000045,8192,1,8080,0.9999991655349731,0.9999978542327881,7,0.9
12,0,test_8192_1_000046,8192,1,8036,1.0,0.9999990463256836,3,0.9
12,0,test_8192_1_000047,8192,1,8070,1.0,1.0,10,0.9
12,0,test_8192_4_000052,8192,4,8075,1.0,1.0,30,0.9
12,0,test_8192_4_000053,8192,4,8075,1.0,1.0,32,0.9
12,0,test_8192_4_000054,8192,4,8042,1.0,1.0,25,0.9
12,0,test_8192_4_000055,8192,4,8074,1.0,1.0,14,0.9
12,0,test_8192_8_000060,8192,8,8045,1.0,1.0,27,0.9
12,0,test_8192_8_000061,8192,8,8075,1.0,1.0,20,0.9
12,0,test_8192_8_000062,8192,8,8052,1.0,1.0,39,0.9
12,0,test_8192_8_000063,8192,8,8066,1.0,1.0,16,0.9
12,0,test_16384_0_000068,16384,0,16058,1.0,1.0,8,0.9
12,0,test_16384_0_000069,16384,0,16086,0.9999973773956299,0.9998036026954651,4,0.9
12,0,test_16384_0_000070,16384,0,16088,1.0,1.0,5,0.9
12,0,test_16384_0_000071,16384,0,16082,0.9999799728393555,0.34398186206817627,1,0.9
12,0,test_16384_1_000076,16384,1,16099,1.0,1.0,12,0.9
12,0,test_16384_1_000077,16384,1,16102,1.0,1.0,12,0.9
